"Dataset","Network","Module","Mod_Def","Percent"
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.571_minSize8_merge_ME_0.85_42548","yellowgreen","Seed",33.3333333333333
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.365_minSize8_merge_ME_0.85_22215","steelblue4","Seed",33.3333333333333
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.392_minSize8_merge_ME_0.85_22215","lavender","Seed",33.3333333333333
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.428_minSize8_merge_ME_0.85_22215","lightskyblue4","Seed",33.3333333333333
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.484_minSize8_merge_ME_0.85_22215","palevioletred2","Seed",33.3333333333333
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.431_minSize8_merge_ME_0.85_42548","mediumpurple","Seed",33.3333333333333
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.325_minSize10_merge_ME_0.85_42548","snow","Seed",30
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.356_minSize10_merge_ME_0.85_42548","tomato4","Seed",30
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.356_minSize8_merge_ME_0.85_42548","burlywood","Seed",30
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.405_minSize10_merge_ME_0.85_42548","magenta3","Seed",30
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.405_minSize8_merge_ME_0.85_42548","darkseagreen2","Seed",30
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.399_minSize10_merge_ME_0.85_42548","antiquewhite1","Seed",30
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.399_minSize8_merge_ME_0.85_42548","green4","Seed",30
"Kamoun 2016 E-MTAB-3892 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.266_minSize10_merge_ME_0.85_42548","paleturquoise2","Seed",30
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.27_minSize10_merge_ME_0.85_18621","darkgoldenrod1","Seed",30
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.27_minSize8_merge_ME_0.85_18621","darkgoldenrod1","Seed",30
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.289_minSize10_merge_ME_0.85_18621","lightskyblue2","Seed",30
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.289_minSize8_merge_ME_0.85_18621","lightskyblue2","Seed",30
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.314_minSize10_merge_ME_0.85_18621","sienna1","Seed",30
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.314_minSize8_merge_ME_0.85_18621","sienna1","Seed",30
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.348_minSize10_merge_ME_0.85_18621","navajowhite","Seed",30
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.348_minSize8_merge_ME_0.85_18621","navajowhite","Seed",30
"Reifenberger 2014 GSE53733 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.318_minSize10_merge_ME_0.85_42548","beige","Seed",30
"Reifenberger 2014 GSE53733 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.344_minSize10_merge_ME_0.85_42548","violetred1","Seed",30
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.284_minSize10_merge_ME_0.85_18621","green3","Seed",30
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.284_minSize8_merge_ME_0.85_18621","green3","Seed",30
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.339_minSize10_merge_ME_0.85_18621","thistle3","Seed",30
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.339_minSize8_merge_ME_0.85_18621","plum3","Seed",30
"Tso 2006 GSE5107 EXT OR QN A.1.1.1","Bicor-None_signum0.36_minSize10_merge_ME_0.85_21860","green3","Seed",30
"Tso 2006 GSE5107 EXT OR QN A.1.1.1","Bicor-None_signum0.36_minSize8_merge_ME_0.85_21860","chocolate3","Seed",30
"Tso 2006 GSE5107 EXT OR QN A.1.1.1","Bicor-None_signum0.382_minSize10_merge_ME_0.85_21860","navajowhite","Seed",30
"Tso 2006 GSE5107 EXT OR QN A.1.1.1","Bicor-None_signum0.382_minSize8_merge_ME_0.85_21860","lavenderblush1","Seed",30
"Turkheimer 2006 GSE2817 RDP Tumor OR QN BC A.1.1.1.1","Bicor-None_signum0.459_minSize10_merge_ME_0.85_42548","green2","Seed",30
"Turkheimer 2006 GSE2817 RDP Tumor OR QN BC A.1.1.1.1","Bicor-None_signum0.498_minSize10_merge_ME_0.85_42548","orangered","Seed",30
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.631_minSize10_merge_ME_0.85_42548","lightcyan","Seed",30
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.631_minSize8_merge_ME_0.85_42548","lightcyan","Seed",30
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.354_minSize10_merge_ME_0.85_18621","lightslateblue","Seed",27.2727272727273
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.354_minSize8_merge_ME_0.85_18621","lightblue4","Seed",27.2727272727273
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.375_minSize10_merge_ME_0.85_18621","thistle3","Seed",27.2727272727273
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.375_minSize8_merge_ME_0.85_18621","thistle","Seed",27.2727272727273
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.322_minSize10_merge_ME_0.85_42548","indianred","Seed",27.2727272727273
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.364_minSize10_merge_ME_0.85_42548","yellow2","Seed",27.2727272727273
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.364_minSize8_merge_ME_0.85_42548","orangered","Seed",27.2727272727273
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.349_minSize10_merge_ME_0.85_42548","wheat1","Seed",27.2727272727273
"CGGA RNA Microarray EXT OR A.1.1","Bicor-None_signum0.515_minSize8_merge_ME_0.85_29421","sienna","Seed",25
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.356_minSize8_merge_ME_0.85_42548","palevioletred4","Seed",25
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.405_minSize8_merge_ME_0.85_42548","palegreen4","Seed",25
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.399_minSize8_merge_ME_0.85_42548","rosybrown4","Seed",25
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.312_minSize8_merge_ME_0.85_42548","maroon2","Seed",25
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.428_minSize8_merge_ME_0.85_22215","darkseagreen","Seed",25
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.484_minSize8_merge_ME_0.85_22215","navajowhite","Seed",25
"Reifenberger 2014 GSE53733 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.344_minSize10_merge_ME_0.85_42548","mediumorchid3","Seed",25
"Reifenberger 2014 GSE53733 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.344_minSize12_merge_ME_0.85_42548","lightskyblue2","Seed",25
"Reifenberger 2014 GSE53733 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.38_minSize10_merge_ME_0.85_42548","indianred2","Seed",25
"Reifenberger 2014 GSE53733 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.38_minSize12_merge_ME_0.85_42548","darkolivegreen1","Seed",25
"Reifenberger 2014 GSE53733 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.439_minSize10_merge_ME_0.85_42548","firebrick4","Seed",25
"Reifenberger 2014 GSE53733 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.439_minSize12_merge_ME_0.85_42548","lightcoral","Seed",25
"Reifenberger 2014 GSE53733 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.439_minSize8_merge_ME_0.85_42548","brown2","Seed",25
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.483_minSize8_merge_ME_0.85_42548","darkorchid2","Seed",25
"Hodges 2006 GSE3790 RDP Normal OR QN BC OR A.1.2.1.1.1","Bicor-None_signum0.268_minSize8_merge_ME_0.85_18621","antiquewhite3","Seed",25
"Hodges 2006 GSE3790 RDP Normal OR QN BC OR A.1.2.1.1.1","Bicor-None_signum0.268_minSize8_merge_ME_0.85_18621","turquoise4","Seed",25
"Hodges 2006 GSE3790 RDP Normal OR QN BC OR A.1.2.1.1.1","Bicor-None_signum0.286_minSize8_merge_ME_0.85_18621","indianred","Seed",25
"Hodges 2006 GSE3790 RDP Normal OR QN BC OR A.1.2.1.1.1","Bicor-None_signum0.286_minSize8_merge_ME_0.85_18621","lightgoldenrod4","Seed",25
"Hodges 2006 GSE3790 RDP Normal OR QN BC OR A.1.2.1.1.1","Bicor-None_signum0.308_minSize8_merge_ME_0.85_18621","burlywood","Seed",25
"Hodges 2006 GSE3790 RDP Normal OR QN BC OR A.1.2.1.1.1","Bicor-None_signum0.308_minSize8_merge_ME_0.85_18621","sienna1","Seed",25
"Hodges 2006 GSE3790 RDP Normal OR QN BC OR A.1.2.1.1.1","Bicor-None_signum0.34_minSize8_merge_ME_0.85_18621","royalblue3","Seed",25
"Gleize 2015 E-MTAB-2358 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.513_minSize10_merge_ME_0.85_42548","thistle1","Seed",23.0769230769231
"Gleize 2015 E-MTAB-2358 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.513_minSize12_merge_ME_0.85_42548","maroon","Seed",23.0769230769231
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.341_minSize10_merge_ME_0.85_42548","yellow3","Seed",23.0769230769231
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.341_minSize12_merge_ME_0.85_42548","yellow3","Seed",23.0769230769231
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.341_minSize8_merge_ME_0.85_42548","mediumpurple4","Seed",23.0769230769231
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.406_minSize10_merge_ME_0.85_42548","maroon","Seed",23.0769230769231
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.406_minSize12_merge_ME_0.85_42548","thistle1","Seed",23.0769230769231
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.406_minSize8_merge_ME_0.85_42548","lightpink4","Seed",23.0769230769231
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.226_minSize10_merge_ME_0.85_18621","antiquewhite1","Seed",23.0769230769231
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.226_minSize12_merge_ME_0.85_18621","antiquewhite1","Seed",23.0769230769231
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.226_minSize8_merge_ME_0.85_18621","antiquewhite1","Seed",23.0769230769231
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.251_minSize10_merge_ME_0.85_18621","orangered1","Seed",23.0769230769231
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.251_minSize12_merge_ME_0.85_18621","orangered1","Seed",23.0769230769231
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.251_minSize8_merge_ME_0.85_18621","orangered1","Seed",23.0769230769231
"Donson 2012 GSE33331 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.542_minSize8_merge_ME_0.85_42548","honeydew","Seed",22.2222222222222
"Kawaguchi 2013 GSE43378 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.473_minSize8_merge_ME_0.85_42548","lightblue3","Seed",22.2222222222222
"Tso 2006 GSE5107 EXT OR QN A.1.1.1","Bicor-None_signum0.36_minSize8_merge_ME_0.85_21860","dodgerblue2","Seed",22.2222222222222
"Tso 2006 GSE5107 EXT OR QN A.1.1.1","Bicor-None_signum0.382_minSize8_merge_ME_0.85_21860","antiquewhite3","Seed",22.2222222222222
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.413_minSize8_merge_ME_0.85_42548","tan1","Seed",22.2222222222222
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.183_minSize8_merge_ME_0.85_18621","darkgoldenrod4","Seed",22.2222222222222
"Freije 2004 GSE4412 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.303_minSize10_merge_ME_0.85_18621","ivory","Seed",21.4285714285714
"Freije 2004 GSE4412 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.303_minSize12_merge_ME_0.85_18621","lightcyan1","Seed",21.4285714285714
"Freije 2004 GSE4412 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.303_minSize8_merge_ME_0.85_18621","ivory","Seed",21.4285714285714
"Freije 2004 GSE4412 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.326_minSize10_merge_ME_0.85_18621","skyblue3","Seed",21.4285714285714
"Freije 2004 GSE4412 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.326_minSize12_merge_ME_0.85_18621","skyblue3","Seed",21.4285714285714
"Freije 2004 GSE4412 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.326_minSize8_merge_ME_0.85_18621","yellowgreen","Seed",21.4285714285714
"Freije 2004 GSE4412 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.354_minSize10_merge_ME_0.85_18621","steelblue","Seed",21.4285714285714
"Freije 2004 GSE4412 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.354_minSize12_merge_ME_0.85_18621","paleturquoise","Seed",21.4285714285714
"Freije 2004 GSE4412 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.354_minSize8_merge_ME_0.85_18621","paleturquoise","Seed",21.4285714285714
"Berchtold 2008 GSE11882 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.353_minSize10_merge_ME_0.85_42548","mediumorchid","Seed",21.4285714285714
"Berchtold 2008 GSE11882 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.353_minSize12_merge_ME_0.85_42548","mediumorchid","Seed",21.4285714285714
"Berchtold 2008 GSE11882 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.353_minSize8_merge_ME_0.85_42548","plum","Seed",21.4285714285714
"Berchtold 2008 GSE11882 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.405_minSize10_merge_ME_0.85_42548","mediumpurple3","Seed",21.4285714285714
"Berchtold 2008 GSE11882 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.405_minSize12_merge_ME_0.85_42548","yellowgreen","Seed",21.4285714285714
"Berchtold 2008 GSE11882 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.405_minSize8_merge_ME_0.85_42548","lightsteelblue1","Seed",21.4285714285714
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.284_minSize10_merge_ME_0.85_42548","plum3","Seed",20
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.284_minSize12_merge_ME_0.85_42548","salmon2","Seed",20
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.284_minSize15_merge_ME_0.85_42548","palevioletred2","Seed",20
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.302_minSize10_merge_ME_0.85_42548","indianred4","Seed",20
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.302_minSize12_merge_ME_0.85_42548","orangered3","Seed",20
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.302_minSize15_merge_ME_0.85_42548","lightsteelblue","Seed",20
"Joy 2014 GSE61335 U133A RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.347_minSize10_merge_ME_0.85_18621","indianred2","Seed",20
"Joy 2014 GSE61335 U133A RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.347_minSize8_merge_ME_0.85_18621","indianred2","Seed",20
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.268_minSize10_merge_ME_0.85_42548","green4","Seed",20
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.268_minSize12_merge_ME_0.85_42548","lavenderblush1","Seed",20
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.268_minSize15_merge_ME_0.85_42548","coral4","Seed",20
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.292_minSize10_merge_ME_0.85_42548","firebrick3","Seed",20
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.292_minSize12_merge_ME_0.85_42548","firebrick3","Seed",20
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.292_minSize15_merge_ME_0.85_42548","indianred3","Seed",20
"TCGA GBM RNA-seq EXT Tumor OR QN BC OR BC OR A.1.1.2.1.1.1.1.1","Bicor-None_signum0.448_minSize10_merge_ME_0.85_24685","navajowhite1","Seed",20
"TCGA GBM RNA-seq EXT Tumor OR QN BC OR BC OR A.1.1.2.1.1.1.1.1","Bicor-None_signum0.448_minSize8_merge_ME_0.85_24685","navajowhite1","Seed",20
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.483_minSize12_merge_ME_0.85_42548","saddlebrown","Seed",20
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.483_minSize15_merge_ME_0.85_42548","saddlebrown","Seed",20
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.245_minSize10_merge_ME_0.85_42548","deeppink","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.245_minSize12_merge_ME_0.85_42548","deeppink","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.245_minSize15_merge_ME_0.85_42548","blueviolet","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.262_minSize10_merge_ME_0.85_42548","lavenderblush2","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.262_minSize12_merge_ME_0.85_42548","navajowhite1","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.262_minSize15_merge_ME_0.85_42548","magenta4","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.283_minSize10_merge_ME_0.85_42548","indianred4","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.283_minSize12_merge_ME_0.85_42548","lightsteelblue","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.283_minSize15_merge_ME_0.85_42548","lightcoral","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.312_minSize10_merge_ME_0.85_42548","salmon4","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.312_minSize12_merge_ME_0.85_42548","salmon4","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.312_minSize15_merge_ME_0.85_42548","plum2","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.312_minSize8_merge_ME_0.85_42548","lavenderblush3","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.361_minSize10_merge_ME_0.85_42548","skyblue","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.361_minSize12_merge_ME_0.85_42548","saddlebrown","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.361_minSize15_merge_ME_0.85_42548","skyblue","Seed",18.75
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.361_minSize8_merge_ME_0.85_42548","paleturquoise","Seed",18.75
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.343_minSize10_merge_ME_0.85_22215","thistle2","Seed",18.75
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.343_minSize12_merge_ME_0.85_22215","plum2","Seed",18.75
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.343_minSize15_merge_ME_0.85_22215","thistle2","Seed",18.75
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.343_minSize8_merge_ME_0.85_22215","salmon4","Seed",18.75
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize10_merge_ME_0.85_18621","lavenderblush2","Seed",18.75
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize12_merge_ME_0.85_18621","lavenderblush2","Seed",18.75
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize15_merge_ME_0.85_18621","lightpink3","Seed",18.75
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize8_merge_ME_0.85_18621","lavenderblush2","Seed",18.75
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.263_minSize10_merge_ME_0.85_18621","darkturquoise","Seed",18.75
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.263_minSize12_merge_ME_0.85_18621","darkgreen","Seed",18.75
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.263_minSize15_merge_ME_0.85_18621","royalblue","Seed",18.75
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.263_minSize8_merge_ME_0.85_18621","darkturquoise","Seed",18.75
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.327_minSize10_merge_ME_0.85_18621","greenyellow","Seed",18.75
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.327_minSize12_merge_ME_0.85_18621","tan","Seed",18.75
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.327_minSize15_merge_ME_0.85_18621","purple","Seed",18.75
"Li 2013 GSE45642 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.327_minSize8_merge_ME_0.85_18621","midnightblue","Seed",18.75
