"Dataset","Network","Mod_Def","SetID","Module","Min_Pval","SetName"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7529","lightblue1","0.000108483957259738","YANG_PFC_2021_SST_INTERNEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7530","lightblue1","0.000150344611722795","YANG_PFC_2021_L5_6_CC_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7531","lightblue1","0.000215577632622549","YANG_PFC_2021_L5_6_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7532","yellow","0.000123457328003623","YANG_PFC_2021_SV2C_INTERNEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7551","darkslateblue","0.000119510187049139","YANG_2021_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7597","turquoise","0.00153330058565389","GRUBMAN_2019_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7604","navajowhite1","0.000141411666684575","ABSINTA_2021_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7679","plum2","0.000669733672881386","LUO_2019_EXC_L1_3_CUX2_NYAP2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7680","turquoise","0.00110728137910623","LUO_2019_EXC_L1_3_CUX2_SLC35F3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7681","green","0.000504567790905383","LUO_2019_EXC_L2_4_RORB_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7682","turquoise4","0.000326704361441839","LUO_2019_EXC_L4_5_FOXP2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7683","turquoise","0.00110728137910623","LUO_2019_EXC_L4_5_TOX_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7684","turquoise","0.000567830110668632","LUO_2019_EXC_L4_6_LRRK1_ADAMTSL1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7685","black","0.000272899624719488","LUO_2019_EXC_L4_6_LRRK1_MLLT3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7686","paleturquoise","0.000154732597884622","LUO_2019_EXC_L4_6_LRRK1_RXRG_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7687","red1","0.0113708854544708","LUO_2019_EXC_L4_PLCH1_ARHGAP15_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7688","palevioletred3","0.00107500539659309","LUO_2019_EXC_L4_PLCH1_CUX2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7689","turquoise","0.000322755674860958","LUO_2019_EXC_L5_6_PDZRN4_CUX1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7690","turquoise","0.00148195027596168","LUO_2019_EXC_L5_6_PDZRN4_RGS6_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7691","seashell3","0.000339136442101197","LUO_2019_EXC_L5_6_PDZRN4_WWC2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7692","tomato","0.000342988736371211","LUO_2019_EXC_L6_TLE4_CPNE4_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7693","blue4","0.000131247154881199","LUO_2019_EXC_L6_TLE4_LMO1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7694","palevioletred2","0.00161379528141716","LUO_2019_EXC_L6_TLE4_SCUBE1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7695","darkslateblue","0.00138272174354048","LUO_2019_EXC_L6_TLE4_ZNF385B_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7696","cyan","0.000945951575752453","LUO_2019_EXC_L6_TSHZ2_CALN1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7697","brown3","0.0057378651704004","LUO_2019_EXC_L6_TSHZ2_TCF12_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7698","magenta","0.0024334810694547","LUO_2019_INH_CGE_MGE_CHST9_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7699","turquoise4","0.000348769992445245","LUO_2019_INH_CGE_LAMP5_CLSTN2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7700","purple2","0.00074149506214264","LUO_2019_INH_CGE_LAMP5_FGFR2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7701","plum3","0.000105832875317962","LUO_2019_INH_CGE_LAMP5_PLD5_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7702","salmon4","0.00241563773170554","LUO_2019_INH_CGE_NDNF_CPNE2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7703","magenta","0.000526342455575636","LUO_2019_INH_CGE_NDNF_IGSF3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7704","pink3","0.00312769046711904","LUO_2019_INH_CGE_NDNF_LDB2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7705","salmon4","0.00027773895658788","LUO_2019_INH_CGE_NDNF_NXPH1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7706","orangered","0.000356367819412955","LUO_2019_INH_CGE_NDNF_SCN5A_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7707","tan","0.0127154074418771","LUO_2019_INH_CGE_VIP_AFAP1L2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7708","lightgreen","0.000443495890799103","LUO_2019_INH_CGE_VIP_ASTN2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7709","aquamarine","0.0018565346137705","LUO_2019_INH_CGE_VIP_DPP6_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7710","plum2","0.00705036471458585","LUO_2019_INH_CGE_VIP_LINGO2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7711","steelblue3","0.000807338499386695","LUO_2019_INH_CGE_VIP_MBP_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7712","brown2","0.00101367805020527","LUO_2019_INH_CGE_VIP_NELL1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7713","slateblue4","0.00255173773644806","LUO_2019_INH_CGE_VIP_SORCS1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7714","blue","0.00098329316348926","LUO_2019_INH_CGE_VIP_SRGAP1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7715","lightblue1","0.000451726856856689","LUO_2019_INH_MGE_B3GAT2_AOAH_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7716","lavenderblush3","0.00124140431401541","LUO_2019_INH_MGE_B3GAT2_CHST11_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7717","turquoise","0.00178506835045618","LUO_2019_INH_MGE_B3GAT2_IGSF21_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7718","lightblue1","0.000501261946411844","LUO_2019_INH_MGE_B3GAT2_PCDH7_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7719","aquamarine","0.000121036974939485","LUO_2019_INH_MGE_B3GAT2_PDE4B_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7720","chocolate3","0.000228274763726802","LUO_2019_INH_MGE_B3GAT2_STK32A_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7721","olivedrab4","0.000314324750079135","LUO_2019_INH_MGE_CALB1_HS3ST5_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7722","chocolate3","0.000137974050087033","LUO_2019_INH_MGE_CALB1_ME3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7723","chocolate3","0.0033275197603311","LUO_2019_INH_MGE_CALB1_PCDH9_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7724","sienna","0.00172001602349236","LUO_2019_INH_MGE_PVALB_DISC1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7725","cornflowerblue","0.00125523914418483","LUO_2019_INH_MGE_PVALB_EPHB1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7726","turquoise","0.000526315382406832","LUO_2019_INH_MGE_PVALB_KIRREL_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7727","turquoise","0.000843428980868632","LUO_2019_INH_MGE_PVALB_SULF1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7728","lightblue1","0.00519783048441826","LUO_2019_INH_MGE_PVALB_UTRN_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7729","magenta","0.00064755846711413","LUO_2019_INH_MGE_UNC5B_CHRM3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7730","white","0.000303305147189564","LUO_2019_INH_MGE_UNC5B_DCLK1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7753","palevioletred1","0.000200808619944651","JAKEL_2019_NEURON3"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7754","mediumorchid3","0.000402220285168775","JAKEL_2019_NEURON4"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7755","palevioletred1","0.000101830795728829","JAKEL_2019_NEURON5"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET8689","steelblue4","0.0004291678719075","MONJE_UP_IN_GBM_FROM_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET8690","mediumorchid3","0.0012924130814226","MONJE_DOWN_IN_GBM_FROM_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET6733","magenta2","0.00185074189778489","ZENG_HUMAN_INTERNEURON_MARKERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET6831","blue","0.000139965131209986","Raju_18GW_INTERNEURONS_SEED"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET6832","blue","0.000134011269022246","Raju_18GW_INTERNEURONS_BC"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7028","yellow4","0.000952859097420776","kelley_neuron"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7054","yellow4","0.00039956427589573","kelley_neuron.2"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7118","purple","0.000412335111378992","AGARWAL_SN_2020_GABA_NEURONS_DE_NEU_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7522","darkorange2","0.000386725974295716","YANG_PFC_2021_L2_3_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7526","darkgoldenrod4","0.00017941030928437","YANG_PFC_2021_L4_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7527","yellow4","0.000122066472070408","YANG_PFC_2021_VIP_INTERNEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7528","darkseagreen1","0.000338464222130576","YANG_PFC_2021_PV_INTERNEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7529","darkorange2","0.000157832351083832","YANG_PFC_2021_SST_INTERNEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7530","orangered","0.0004068901909524","YANG_PFC_2021_L5_6_CC_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7531","thistle","0.000221451480767497","YANG_PFC_2021_L5_6_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7532","yellow4","0.000183090015351454","YANG_PFC_2021_SV2C_INTERNEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7551","darkorange2","0.000240183659933438","YANG_2021_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7597","blue","0.00179184033485997","GRUBMAN_2019_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7604","yellow","0.000105752770390183","ABSINTA_2021_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7679","blue","0.000142130909221707","LUO_2019_EXC_L1_3_CUX2_NYAP2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7680","blue","0.00170068937719806","LUO_2019_EXC_L1_3_CUX2_SLC35F3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7681","green","0.000578936309238043","LUO_2019_EXC_L2_4_RORB_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7682","blue","0.000821771653638691","LUO_2019_EXC_L4_5_FOXP2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7683","magenta2","0.000161607729732664","LUO_2019_EXC_L4_5_TOX_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7684","blue","0.00102080888223142","LUO_2019_EXC_L4_6_LRRK1_ADAMTSL1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7685","thistle4","0.000807800040284464","LUO_2019_EXC_L4_6_LRRK1_MLLT3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7686","blue","0.000134977387314836","LUO_2019_EXC_L4_6_LRRK1_RXRG_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7687","blue","0.000211643706121622","LUO_2019_EXC_L4_PLCH1_ARHGAP15_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7688","darkgoldenrod4","0.000815768201751653","LUO_2019_EXC_L4_PLCH1_CUX2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7689","blue","0.000537258583988591","LUO_2019_EXC_L5_6_PDZRN4_CUX1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7690","red","0.000244765349515826","LUO_2019_EXC_L5_6_PDZRN4_RGS6_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7691","blue","0.00419175025046953","LUO_2019_EXC_L5_6_PDZRN4_WWC2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7692","deeppink1","0.000613204736260608","LUO_2019_EXC_L6_TLE4_CPNE4_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7693","firebrick3","0.00116767893573232","LUO_2019_EXC_L6_TLE4_LMO1_DE_NEURON_CLUSTERS"
